Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ecuador,ECU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.536017905,10.78953675,8.566803937,8.317742058,10.03731873,11.86791395,12.4214217,10.98249841,13.46585029,13.55135165,14.51707903,12.90722268,14.58233563,,,,,15.94882287,17.98328279,17.80534263,17.50548739,15.37630807,12.41290702,10.97119603,8.209051839,6.483121471,5.83348059,5.809446327,5.841673659,6.843967713,7.800509142,14.02425488,
Ecuador,ECU,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,500,,4800,7500,570,1900,289000,3000,4200,1100,1200,5700,
Ecuador,ECU,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,63.18407822,,52.23880768,,54.72636795,52.23880768,48.07692337,45.19230652,45.67307663,47.11538315,46.15384674,45.0236969,46.91942978,45.07042313,44.6009407,45.53990555,48.76847458,47.29064178,44.82758713,47.29064178,53.62318802,53.62318802,53.62318802,57.48792267,
Ecuador,ECU,Voice and Accountability: Estimate,VA.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013284295,,0.114651591,,-0.247218117,,-0.04498877,-0.121541075,-0.244635746,-0.363743484,-0.253862709,-0.161115885,-0.222304702,-0.250357389,-0.23108083,-0.293364823,-0.296114117,-0.252721816,-0.202451646,-0.211743653,-0.247136489,-0.172118649,-0.006300489,0.032742959,-0.012035531,0.106134444,
Ecuador,ECU,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80058801,53101699,146115719,59881533,55266062,78368915,81594902,103054631,111063506,93241535,68768817,67994135,52973237,77485368,
Ecuador,ECU,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,3.965702036,4.870466321,2.910958904,4.160246533,6.32228219,8.805031447,7.672487833,6.724017964,5.922434551,8.06874836,7.104136947,8.825021913,7.374721349,12.98732989,9.513429835,16.33577672,19.44292693,14.50090631,8.855006785,6.211489241,7.604703608,8.232589449,13.47405708,6.752085335,2.34799831,2.975967181,4.668644177,6.657760299,10.19384109,11.45018272,8.888658761,9.621393979,9.202177519,13.99218909,14.89764413,12.78505833,14.33567528,16.01843772,17.61996802,12.83734042,18.38493218,20.03559895,21.24959196,23.1016398,17.09120153,19.32973894,17.82468103,21.24374351,19.15512584,17.31927388,16.87655075,16.83323444,16.52861935,14.8668239,12.75868061,13.55292067,15.35205745,15.27830592,15.67613175,12.83721513,8.539689431,,
Ecuador,ECU,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,,,,,,,1.92527913,,,,,,0.015268574,,0.006227813,,0.000791747,,,,,,,,,,,,,,,,,,,,0.088236389,0.024864551,0.037357418,0.12749388,0.057042473,0.044931707,0.033979931,0.03992218,0.310838852,0.372673435,0.423386978,0.764882069,0.07095567,0.086461264,0.076558517,0.135340924,0.404363834,0.13792421,1.34671196,0.766041304,0.660407956,0.673648607,1.433303501,0.637845922,0.377523946,,
Ecuador,ECU,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,0.214362272,,0.171232877,,,0.090929757,,0.018976532,,0.478876935,0.004755112,0.110716428,0.329801203,0.013139371,0.004448438,0.113264805,0.399040403,0.016667708,0.075530635,0.014693336,0.02214884,0.00747952,0.012617471,0.000897884,0.001550346,0.044741035,0.034545019,0.188134516,0.088658672,0.051837348,0.015144979,0.017980545,0.032068688,0.171714178,0.250772409,0.169082469,1.660197583,3.08219804,1.279717723,1.750613488,0.128799058,0.266552252,0.059178986,0.282500975,0.983382607,0.113557109,1.576888184,0.41641023,2.203009909,1.030720013,2.651610697,1.311893611,2.476719602,3.885063916,4.642849321,8.750464557,11.40007454,12.80848246,13.72269771,15.76641082,17.74813343,,
Ecuador,ECU,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,,0.103626943,0.171232877,0.077041602,0.077101002,0.106084716,0.186086459,3.605541147,2.044162098,1.029913409,0.175939135,0.922636896,0.897792164,0.251525106,0.134342832,0.292778834,0.364203542,0.048614149,,,,,,0.008978837,0.001550346,0.019617223,,,0.00196087,0.000365351,0.016659109,0.065269342,0.027630403,0.180521732,0.067721898,0.072182975,0.393469196,0.794915066,0.747009998,0.716948087,0.571524016,0.518322317,0.346761008,0.748725222,0.508730618,0.373782731,0.173259486,0.251894358,0.158757916,0.238676892,0.664526056,0.418924245,0.573272924,0.557127578,0.523697451,1.236241356,1.375780072,1.363998352,1.541648504,1.861241096,2.535975184,,
Ecuador,ECU,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031286145,0.037562457,0.115446235,0.097991459,0.075673381,0.226198475,0.265725589,0.227081909,0.21020204,0.131983014,0.121400383,0.116168286,0.066693384,0.069992631,0.054876639,0.081933247,0.103360231,0.106373928,0.079988313,0.047182576,0.05002513,0.043446886,
Ecuador,ECU,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,101.5886311,98.49141676,96.01364527,91.67754516,89.19977367,83.62478781,56.36930141,61.3248444,50.79431556,56.98874429,59.46651578,54.5109728,50.17487269,48.31654407,53.27208705,52.84020197,56.58946371,56.73821546,49.18492632,52.32610477,61.94428727,56.89788399,58.2065784,63.19695971,67.76529861,79.8456366,90.95876347,101.2332968,128.3948347,98.70325569,121.2194703,145.9828315,147.3827852,148.5244768,139.6466473,100,93.82131404,104.4825698,118.8214849,115.1328204,97.77866237,125.3125381,
Ecuador,ECU,Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,19.14648212,20.62689585,21.56731413,29.23076923,34.53912517,33.37612323,35.51136364,32.40938166,32.21343874,32.07855974,27.85714286,27.55267423,29.29824561,28.98799314,23.17880795,20.41522491,20.04504505,17.74888135,18.77109436,20.37648813,20.17577801,18.75180703,19.86105503,23.69937647,24.32370188,24.24873576,23.25998714,22.43046005,20.5836825,20.55432158,20.53601903,20.26454449,18.3616291,21.31900042,19.31581279,19.48934944,19.76319329,18.65814937,18.75132238,20.73754165,30.60278667,29.35905692,29.48637117,29.95419443,15.04836973,27.35236608,
Ecuador,ECU,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,60.55467469,60.36118352,58.28652818,39.97205128,43.43608073,47.47520894,48.64690548,60.5063019,46.04821155,49.8454758,50.12227567,64.47018355,65.33014431,68.85598345,97.33680901,112.6889216,105.7342951,133.1561465,149.8392957,81.08472718,100,144.1232747,172.824311,180.126951,221.069463,276.4463387,325.5363976,373.3677226,506.619808,405.5201122,553.3508997,656.72741,684.658678,729.5145267,745.1057094,578.2659906,438.6906258,537.7332901,622.8634686,606.3848934,482.6273192,,
Ecuador,ECU,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,0.099009901,0.301204819,0.211864407,0.157853197,0.068728522,0.12697261,0.149322306,0.406124545,0.113511821,0.198371699,0.124160093,0.105503781,0.069026104,0.078020789,0.163598579,0.167743102,0.101126842,0.588131358,0.603918494,0.968949846,1.322972049,1.177628181,0.782118409,0.472979429,0.35873323,0.974031219,0.757462831,0.74922834,0.931289945,1.0222925,0.59988196,1.114858805,0.435774167,0.36737169,0.312106316,0.347682328,0.224070477,1.153922026,0.811334052,1.378878228,0.931824329,0.275760223,0.07919314,0.495689597,0.549598355,0.829917239,1.091088927,1.371572532,0.846756668,0.859390544,0.302854383,0.430179454,0.030218468,0.042532689,0.039939319,0.042649735,0.035913678,0.196476389,0.064587446,0.144471951,0.013932769,,
Ecuador,ECU,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,,,,,,0.006046315,0.011486331,,,,,0.032237266,0.094126506,0.022651197,0.008843166,0.020088994,0.013414785,0.051324768,0.067766432,0.007501547,0.03727932,0.071681715,0.055829674,0.01706275,0.029422915,0.011845598,0.002760433,0.006280956,0.005713364,0.047142936,0.004801935,0.013740323,0.015360885,0.884034648,0.563368383,1.513719338,0.58993899,1.28050827,1.692459385,0.937518659,2.006965112,1.577787633,0.934927019,0.857892291,1.655946242,1.576541856,2.001595199,1.255367626,1.52302802,0.64592919,0.472390076,0.881189636,0.957495644,0.813698263,0.816017581,1.023362853,1.357324477,0.802629454,1.002834744,1.453496455,1.010421873,,
